StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
190,   257,225077, , ,,,0.05353433,-31.21239379,317.460317460317, 8.87,1.361552768948,A0V         , 0.081
191,   258,225073, , ,,,0.05368853,+17.55239698,159.235668789809, 6.59,0.579798218685981,K0          , 1.122
192,   259, , , ,,,0.05372694,+48.72233890,1851.85185185185, 8.65,-2.68803120088516,M0          , 1.455
193,   263, , , ,,,0.05528252,+04.68713578,30.3674460977832,12.04,9.62795865355954,M1          , 1.473
194,   264,225083, , ,,,0.05547195,+38.24401553,271.0027100271, 8.42,1.2551318307953,K0          , 1.174
195,   266,225088, , ,,,0.05569065,-11.94520986,295.85798816568, 8.09,0.734583501388275,K1IIICN...  , 1.125
196,   267,225086, , ,,,0.05569407,-04.14573041,85.7632933104631, 8.09,3.42349275211498,F2          , 0.455
197,   268,240485, , ,,,0.05612037,+59.07861165,4166.66666666667, 8.18,-4.91894379144197,K5          , 1.462
198,   269,225096, , ,,,0.05613679,+23.57504990,261.780104712042, 8.77,1.68031681455854,G5          , 1.125
199,   270,225093, , ,,,0.05667045,+73.17449052,212.765957446808, 7.36,0.720489289678589,A2          , 0.146
200,   272,225098, , ,,,0.05703441,-26.41518293,719.424460431655, 8.82,-0.464925998729523,G8/K0III    , 0.979
201,   274,225094,9097,,          , ,0.0571436,+63.64052431,1075.2688172043, 6.24,-3.91758525723032,B3Ia        , 0.332
202,   276,225097, , ,,,0.05719411,+20.66591788,64.3086816720257, 7.49,3.44865196681428,G0          , 0.636
203,   277,225101, , ,,,0.05728525,-36.25120504,63.1313131313131, 6.96,2.95877588626737,F2V         , 0.353
204,   278,225095, , ,,,0.05754128,+55.55090206,358.4229390681, 7.94,0.168021016367989,B2IVne+...  ,-0.023
205,   279, , , ,,,0.05758499,+62.35780416,1234.56790123457, 8.69,-1.76757490560675,B8V         , 0.120
206,   280,225104, , ,,,0.05775108,+53.31270092,207.03933747412, 8.15,1.56973565375756,A2          , 0.134
207,   281,236286, , ,,,0.05841247,+55.05995058,347.222222222222, 8.45,0.746962438796155,M0          , 1.655
208,   282,225106, , ,,,0.05842847,+19.38157170,617.283950617284, 7.92,-1.03242492728684,K0          , 1.408
209,   283,225107, , ,,,0.05847703,+12.35682896,200.400801603206, 7.45,0.94050272811695,A5          , 0.353
210,   285,225112, , ,,,0.05871155,-35.60222342,724.63768115942, 8.55,-0.750604567993815,K1IV/VCN... , 1.212
211,   288,225105, , ,,,0.05925061,+42.35221969,182.149362477231, 7.90,1.59786172225046,K0          , 1.071
212,   289,225122, , ,,,0.06015723,-51.80908752,287.35632183908, 8.68,1.38789621973291,K0III       , 1.011
213,   290,225120, , ,,,0.06027427,-31.09403248,65.5307994757536, 7.78,3.69777266809431,F8/G0V      , 0.563
214,   291,225119, , ,,,0.06030294,-28.41713516,684.931506849315, 8.21,-0.968235721077813,Ap...       ,-0.123
215,   292,225114, , ,,,0.06058045,+70.30603307,342.465753424658, 8.11,0.436914257242092,A0          ,-0.019
216,   293,225133, , ,,,0.06105999,-57.16443914,76.103500761035, 8.29,3.88297682611881,F6V         , 0.488
217,   294,225127, , ,,,0.06114376,+03.90700467,115.874855156431, 7.89,2.57005397857605,F0          , 0.401
218,   296,225118, , ,,,0.06147189,-28.39584776,39.5413206801107, 8.24,5.25474414672202,G8V         , 0.780
219,   297,225124, , ,,,0.06162965,+48.43692667,155.763239875389, 6.80,0.837675140344267,A2          , 0.060
220,   298,225126, , ,,,0.06179703,+13.36518977,355.871886120996, 8.18,0.4235315995254,K0          , 1.015
221,   299,225134, , ,,,0.06225145,-63.60066163,103.412616339193, 8.44,3.36713237041501,F5V         , 0.508
222,   301,225132,9098,,  2    Cet, ,0.06232565,-17.33597002,69.8812019566736, 4.55,0.328198168798882,B9IVn       ,-0.047
223,   300,225125, , ,,,0.06232724,+42.02349764,165.562913907285, 7.45,1.35518469310566,A3          , 0.244
224,   302,225136,9099,,          , ,0.06434093,+66.71220273,302.114803625378, 6.31,-1.09086003112141,M4          , 1.629
225,   303,225137, , ,,,0.06461062,+57.37827711,194.174757281553, 8.15,1.70903614520596,Am...       , 0.316
226,   304,225149, , ,,,0.064653,+22.29607151,162.337662337662, 8.27,2.21790356082213,A2          , 0.136
227,   305,225155, , ,,,0.06480418,-28.39376930,48.9236790606654, 7.66,4.21240445731338,G5IV        , 0.741
228,   306,225158, , ,,,0.06498266,-57.83035720,69.6378830083566, 8.59,4.37577219953141,G2V         , 0.616
229,   308,225151, , ,,,0.06556931,+14.37891704,71.9424460431655, 7.09,2.80507400127048,F0          , 0.303
230,   309,225157, , ,,,0.06572723,-45.28859728,217.864923747277, 8.54,1.84906342768631,A7V         , 0.230
231,   311,225147, , ,,,0.06583926,+36.97021204,157.232704402516, 8.44,2.45728557824207,F0          , 0.456
232,   312,225146, , ,,,0.06597319,+61.10364174,10000000, 8.59,-6.41,B0Ibp       , 0.360
233,   313,225167, , ,,,0.06607347,-48.12518732,94.1619585687382, 8.01,3.14062258372725,F3/F5V      , 0.406
234,   314,225150, , ,,,0.0661151,+20.95381941,179.21146953405, 8.29,2.02317099468789,G0          , 0.540
235,   316,225161, , ,,,0.06673311,+12.14583388,182.481751824818, 7.26,0.953902792421847,F0          , 0.355
236,   317,225169, , ,,,0.06683546,-80.39507010,180.831826401447, 7.91,1.62362565652349,F0III/IV    , 0.314
237,   319,225160, , ,,,0.06772121,+62.22195138,833.333333333333, 8.19,-1.41409376976188,O8e         , 0.260
238,   321,225175, , ,,,0.06884474,-25.89254967,101.214574898785, 8.93,3.90378472293814,G2/G3V      , 0.607
239,   322,225170, , ,,,0.06901162,+56.92100467,254.452926208651, 7.65,0.621962751877134,G8IV        , 0.992
240,   324,225181, , ,,,0.0695029,+17.43668381,122.249388753056, 8.53,3.09376651835662,F5          , 0.491
241,   323,225172, , ,,,0.06951519,+49.87020726,162.60162601626, 7.38,1.32437557887708,K0          , 1.003
242,   325,225173, , ,,,0.06957517,+39.12012608,69.060773480663, 8.56,4.36384280930564,F8          , 0.615
243,   326, , , ,,,0.06965601,+11.26438632,1219.51219512195, 8.76,-1.67093073808142,M0          , 1.692
244,   328,225187, , ,,,0.06996871,-30.13491782,235.849056603774, 7.09,0.226829282963664,B8V         ,-0.085
245,   330,225180,9100,,  9    Cas, ,0.07046214,+62.28766460,1123.59550561798, 5.90,-4.35304996677544,A1III       , 0.274
246,   332,225189, , ,,,0.07072227,-34.41465369,151.975683890577, 8.41,2.50112946806978,F6V         , 0.563
247,   334,240489, , ,,,0.07092391,+60.15501928,14285.7142857143, 8.79,-6.21,B0          , 0.080
248,   335,225182, , ,,,0.07106789,+14.08162325,179.533213644524, 8.88,2.60927597586865,A0          , 0.253
249,   336,225179, , ,,,0.07110448,+65.15296110,680.272108843537, 7.59,-1.57341332625912,K5          , 1.680
250,   339,225203, , ,,,0.07124759,-59.31518062,242.718446601942, 8.55,1.62448608016567,A1V         , 0.037
251,   340,225201, , ,,,0.07158887,-43.98832631,67.0690811535882, 8.11,3.97738821726497,F6V         , 0.484
252,   343,225197,9101,,          , ,0.07215592,-16.52888969,88.5739592559787, 5.78,1.04346970962484,K0III       , 1.084
253,   345,225200,9102,,          , ,0.07230497,-29.26883006,129.032258064516, 6.38,0.826508512531552,A1V         , 0.006
254,   346,225202, , ,,,0.07252055,-53.90948292,189.753320683112, 8.80,2.40905307606273,K1III       , 1.031
255,   347,225190, , ,,,0.07257999,+54.27460172,406.50406504065, 7.79,-0.255324464483103,B3V         ,-0.089
256,   348,225194, , ,,,0.07258669,+12.95705512,59.5592614651578, 8.60,4.72525348069024,G5          , 0.640
257,   349,225206, , ,,,0.07302629,-29.38157885,243.90243902439, 7.77,0.833919283598678,B8/B9V      ,-0.058
258,   350, , , ,,,0.07328727,-57.32287483,47.3036896877956,10.37,6.99552491485704, , 1.100
259,   351,225208, , ,,,0.07350819,-47.06812971,44.404973357016, 9.80,6.56284193089654,K0V         , 0.855
260,   355,225212,9103,,  3    Cet, ,0.07503398,-10.50949443,492.610837438424, 4.99,-3.47251981043394,K3Ibvar     , 1.619
261,   356,225211, , ,,,0.07504679,-06.96533727,101.112234580384, 8.43,3.4059814579859,G0          , 0.611
262,   357,225233,9106,,          , ,0.07514627,-72.89722070,91.5750915750916, 7.33,2.52111319184359,F2V         , 0.444
263,   358,225235, , ,,,0.07595728,-76.34653399,1052.63157894737, 8.93,-1.18138197355576,G8III       , 1.025
264,   361,225231, , ,,,0.07652,-71.69499867,294.117647058824, 8.73,1.38739458521128,K0III       , 1.036
265,   363,225217, , ,,,0.07678062,+43.55131855,465.116279069767, 8.12,-0.217807700421973,C5II        , 2.530
266,   366,225229, , ,,,0.07683119,-31.16905083,628.930817610063, 8.94,-0.0530143783977426,K1IV        , 1.181
267,   365,225218,9105,,          , ,0.07683225,+42.09256148,515.463917525773, 6.11,-2.45099135034887,B9III       , 0.159
268,   368,225221, , ,,,0.07707171,+02.93722463,207.03933747412, 7.90,1.31973565375756,K2          , 1.249
269,   370,225251, , ,,,0.07729352,-51.58336438,406.50406504065, 7.13,-0.915324464483104,K1III       , 1.260
270,   372,225252, , ,,,0.07770637,-70.40421693,240.963855421687, 7.46,0.550240483560464,K0/K1III    , 1.072
271,   373,225224, , ,,,0.07773199,-08.18490648,719.424460431655, 8.72,-0.564925998729523,K2          , 1.508
272,   374,225220, , ,,,0.07780296,+34.26519797,163.132137030995, 7.02,0.957302372592076,K0          , 1.100
273,   376,225242, , ,,,0.07810426,+06.52258527,247.524752475248, 8.37,1.40190682555302,K0          , 0.881
274,   377,225253,9108,,          , ,0.07812589,-71.43685835,175.438596491228, 5.59,-0.630625721637542,B8III       ,-0.100
275,   378,225241, , ,,,0.07812793,+14.96533616,87.2600349040139, 7.37,2.66592308815686,F5IV        , 0.422
276,   379,225216,9104,,          , ,0.07828819,+67.16638761,97.0873786407767, 5.68,0.744186123525862,K1III       , 1.051
277,   380,225240, , ,,,0.07853087,+17.06977988,136.054421768707, 8.56,2.89143669542098,G5          , 0.792
278,   381,225237, , ,,,0.07901243,+51.53385066,406.50406504065, 8.72,0.674675535516897,A2          ,-0.014
279,   383,225244, , ,,,0.07925813,+00.05649086,245.098039215686, 8.82,1.8733008154494,F0          , 0.433
280,   384,225243, , ,,,0.0795241,+01.53694172,171.232876712329, 8.18,2.012064235562,A5          , 0.376
281,   387,225259, , ,,,0.08054272,+38.78622411,621.11801242236, 8.46,-0.505870619840749,F2          , 0.556
282,   389,225264, , ,,,0.08078072,-29.63304603,176.991150442478, 8.28,2.04024223909719,A0IV        , 0.002
283,   391,225258, , ,,,0.08079734,+43.97079063,143.884892086331, 8.18,2.38992402295057,G0          , 0.430
284,   392,225260, , ,,,0.081101,+30.08593131,95.5109837631328, 7.93,3.02973340839421,F5          , 0.478
285,   394,225239,9107,NN 3002  ,          , ,0.08144852,+34.65955259,36.7917586460633, 6.09,3.26124726198238,G2V         , 0.632
286,   395,225282, , ,,,0.08147751,-30.25661295,317.460317460317, 8.31,0.801552768948003,A0IV/V      , 0.036
287,   396,225283, , ,,,0.08164042,-31.99660262,343.642611683849, 7.83,0.149464944929536,K2III       , 1.256
288,   397,225275, , ,,,0.08168672,+52.24894130,268.096514745308, 8.72,1.57854415904344,A0          , 0.082
289,   398,225257, , ,,,0.08193512,+58.53217392,469.483568075117, 6.61,-1.74810198280631,B3V         , 0.025
290,   399,225276,9109,,          , ,0.08220199,+26.64879958,187.265917602996, 6.25,-0.112293714857217,K4IIIb      , 1.368
291,   400,225261,,NN 3003  ,, ,0.082244,+23.26964739,25.6016385048643, 7.82,5.77866119475918,G9V         , 0.755
292,   401,240493, , ,,,0.08228172,+56.05695930,286.532951289398, 8.66,1.3741271347959,K5          , 1.614
293,   402,225273, , ,,,0.08232957,+64.78140759,166.112956810631, 8.15,2.04798245628912,F5          , 0.475
294,   403,225280, , ,,,0.08248028,-18.17850304,86.5051903114187, 8.97,4.28478917042255,G3V         , 0.674
295,   405,236293, , ,,,0.08263399,+51.18064908,645.161290322581, 8.15,-0.898341509148541,K2          , 1.201
296,   404,225291, , ,,,0.08264115,+45.67395209,68.8231245698555, 7.47,3.28132807149011,F8V         , 0.550
297,   406, , , ,,,0.08292832,+26.72525618,598.802395209581, 8.63,-0.256417644262081,M0          , 1.570
298,   407,225299, , ,,,0.08295163,-70.21220744,45.2693526482571, 8.13,4.85097857935718,G5V         , 0.710
299,   408,225274, , ,,,0.08300179,+57.46874679,226.757369614512, 8.23,1.45219294733919,G9III       , 0.986
300,   409,225300, , ,,,0.08307259,-70.49241628,117.785630153121, 8.41,3.05453845121976,F5V         , 0.461
301,   410,225292, , ,,,0.08364842,+27.67479979,131.061598951507, 6.47,0.882622689774402,G8II        , 0.946
302,   412,225271, , ,,,0.0838372,+66.51678960,161.550888529887, 8.64,2.59845324510059,F5          , 1.300
303,   413,225297, , ,,,0.08402276,-36.01527326,50.5561172901921, 7.73,4.2111314363058,G0V         , 0.537
304,   414,    12, , ,,,0.08414982,-59.82810463,510.204081632653, 8.64,0.101280356782382,G6III       , 0.889
305,   415,225293, , ,,,0.0842532,+09.28002796,119.331742243437, 8.94,3.55622009315138,F2          , 0.415
306,   416,225294, , ,,,0.0842934,+01.03782858,114.54753722795, 8.84,3.54507121852785,G5          , 0.759
307,   417,     6,   2,,          , ,0.08438794,-00.50290553,143.884892086331, 6.32,0.52992402295057,G9III:      , 1.099
308,   418,225289,9110,,          , ,0.08503682,+61.31396468,222.222222222222, 5.80,-0.933937431123281,B8MNp...    ,-0.067
309,   419,    10, , ,,,0.08524741,-42.56781669,195.3125, 8.97,2.51634980487916,G8/K0V      , 0.860
310,   420,    23, , ,,,0.08544451,-52.15142338,41.8410041841004, 7.53,4.42198950474069,G0V         , 0.577
311,   422,     1, , ,,,0.0857839,+67.84002075,395.256916996047, 7.41,-0.57439739412091,K0          , 1.288
312,   423,     4, , ,,,0.08590585,+30.32911509,184.162062615101, 7.80,1.47399914794423,F0          , 0.437
313,   425,    24, , ,,,0.08603193,-62.84527102,70.1754385964912, 8.14,3.90907432172265,G0V         , 0.593
314,   424,     3, , ,,,0.0860502,+45.22907883,150.15015015015, 6.71,0.827371145851506,A1Vn        , 0.068
315,   427,    22, , ,,,0.08609592,-43.85083352,704.225352112676, 8.73,-0.508558278084715,K1III       , 1.124
316,   429,     5, , ,,,0.08615511,+02.39731072,89.9280575539568, 8.69,3.92052393623019,G5          , 0.644
317,   428, ,,Gl   2   ,, ,0.08615576,+45.78693438,11.4968958381237, 9.95,9.64709701664659,M2          , 1.472
318,   430,    21, , ,,,0.08619619,-32.46851165,159.489633173844, 7.10,1.08633770415358,K1III       , 1.128
319,   431,    16, , ,,,0.08679901,+36.30368114,408.163265306122, 8.09,0.0358304218226628,F5          , 0.496
320,   432,    17, , ,,,0.08694525,+35.57110311,96.6183574879227, 6.88,1.95470174896468,A2          , 0.174
321,   436,    55,,Gl   3   ,, ,0.08829689,-67.83122670,16.0051216389245, 8.49,7.46870510434622,K5V         , 1.076
322,   437,    15,,NN 3004  ,, ,0.08830088,+48.47719511,314.465408805031, 8.30,0.812135599922166,G5          , 0.998
323,   438,    27, , ,,,0.08845774,-01.79412136,452.488687782805, 7.95,-0.328038631574446,G5          , 0.991
324,   440,    14, , ,,,0.08885129,+68.88440910,188.323917137476, 7.08,0.705472605407347,B9          ,-0.006
325,   441,    32, , ,,,0.08886447,-38.85723115,233.100233100233, 6.93,0.0922864609236216,G8III/IV    , 0.940
326,   442,    31, , ,,,0.0888975,-21.31530277,230.94688221709, 8.38,1.56243948176683,B9V         ,-0.060
327,   443,    28,   3,, 33    Psc, ,0.08892938,-05.70783255,39.4011032308905, 4.61,1.63245808879343,K1III       , 1.029
328,   439,225213,,Gl   1   ,, ,0.08897037,-37.35168110,4.36052849605372, 8.56,10.3623043552509,M2V         , 1.462
329,   444,    54, , ,,,0.08910683,-59.81448691,775.193798449612, 8.78,-0.667051448503756,K2III       , 1.156
330,   445,    53, , ,,,0.08934144,-56.95562054,104.712041884817, 7.42,2.32001685791873,A1Vs        , 0.191
331,   447,    26, , ,,,0.08946002,+08.78795370,591.715976331361, 8.26,-0.600566476931631,G4V:p       , 1.052
332,   446,    69, , ,,,0.0894865,-79.25391278,198.019801980198, 7.71,1.22645689059331,K0III       , 1.093
333,   448,    43, , ,,,0.08951419,+03.60610712,148.148148148148, 6.91,1.05651886415512,G5          , 1.120
334,   450, , , ,,,0.08999652,+28.54375172,303.030303030303, 8.99,1.58256969938944,K7          , 1.199
335,   451,    42, , ,,,0.09007748,+16.32907717,219.78021978022, 8.63,1.92005698328556,G0          , 0.460
336,   453,    46, , ,,,0.09040796,-03.85159559,215.05376344086, 7.59,0.92726476444977,K0          , 1.045
337,   454,    48, , ,,,0.09066964,-14.42209198,210.084033613445, 7.39,0.778034763602466,K0III       , 0.990
338,   456,    65, , ,,,0.09102882,-37.30254152,208.768267223382, 7.78,1.18167756707282,K0III       , 1.123
339,   457,    66, , ,,,0.09111921,-42.88738421,497.512437810945, 7.47,-1.01401971289756,M3III       , 1.620
340,   458,    62, , ,,,0.09117504,-07.66532823,325.732899022801, 6.97,-0.594308122614066,K5          , 1.444
341,   459,    67, , ,,,0.09120887,-61.22566452,53.850296176629, 8.82,5.1640595186989,G5V         , 0.666
342,   460,    40, , ,,,0.09131763,+22.22467477,45.045045045045, 9.13,5.86176487225319,G5          , 0.735
343,   461,    39, , ,,,0.09140457,+34.10565584,90.5797101449275, 7.86,3.0748453669659,F8          , 0.494
344,   462,    63, , ,,,0.09197453,-09.61729691,50.4795557799091, 7.13,3.61442237769274,F5          , 0.446
345,   465, , , ,,,0.09272844,+76.28582649,253.807106598985, 8.78,1.75748110912787,K2          , 1.249
346,   466,    58, , ,,,0.09303173,+53.17169568,284.090909090909, 7.23,-0.0372866826093432,K0          , 1.174
347,   468,    80, , ,,,0.09326412,-61.30989474,235.294117647059, 7.36,0.501944650251558,K0III       , 0.993
348,   469,    79, , ,,,0.09340207,-51.26045604,434.782608695652, 7.36,-0.831360819912036,K3/K4III    , 1.444
349,   470,    73, , ,,,0.09359807,+43.40143611,2127.65957446809, 8.47,-3.16951071032141,B1.5IV      ,-0.180
350,   472,    71, , ,,,0.0943665,+55.70990230,235.294117647059, 6.99,0.131944650251558,K0III       , 1.187
351,   473,    38,,Gl   4  A,, ,0.09452151,+45.81245496,11.7508813160987, 8.20,7.84964780042294,K2          , 1.410
352,   474,    72, , ,,,0.09467993,+44.46868671,142.857142857143, 8.36,2.58549020007128,A0          , 0.247
353,   475,    70, , ,,,0.09488884,+58.31365552,47.5511174512601, 8.22,4.83419636343161,G0          , 0.636
354,   476,    87,   4,, 86    Peg, ,0.09498215,+13.39628227,114.285714285714, 5.55,0.260040265111567,G5III       , 0.901
355,   480,    88, , ,,,0.09534461,-15.36550173,534.75935828877, 8.60,-0.0407919673175048,K1III       , 1.100
356,   482,    85, , ,,,0.09566975,+17.84032678,168.067226890756, 7.75,1.62258482864275,F2+...      , 0.414
357,   485,    83, , ,,,0.09651865,+47.08729369,381.679389312977, 8.47,0.561506456598729,A0          , 0.045
358,   490,   105, , ,,,0.09790781,-41.75288210,40.2414486921529, 7.51,4.48663196534675,G0V         , 0.595
359,   491,    94, , ,,,0.09799795,+12.52743978,342.465753424658, 8.91,1.23691425724209,K0          , 1.190
360,   493,   101, , ,,,0.09856701,+18.23536692,38.109756097561, 7.45,4.54481915351811,F8          , 0.596
361,   494,   122, , ,,,0.09864757,-68.81162782,76.9822940723634, 8.99,4.55804575536514,F8V         , 0.585
362,   495,   113, , ,,,0.0987676,+18.07622626,38.8048117966628, 8.58,5.63557209275452,K0...       , 0.920
363,   496,   100, , ,,,0.09908583,+24.56904604,188.323917137476, 6.90,0.525472605407347,K5          , 1.564
364,   497,    98, , ,,,0.09917931,+49.62234797,141.843971631206, 7.55,1.79094558495699,A3          , 0.300
365,   498,    99, , ,,,0.09952054,+44.73937991,234.741784037559, 7.93,1.07704799551359,A3          , 0.239
366,   501,   118, , ,,,0.10003646,-39.13751717,238.663484486874, 8.55,1.66107011483148,K3III       , 1.357
367,   502,   111, , ,,,0.10014949,+28.27696051,344.827586206897, 6.62,-1.06801001050522,K5III       , 1.531
368,   503,   114, , ,,,0.10029297,+16.45207976,325.732899022801, 7.89,0.325691877385934,G5          , 0.930
369,   504,   112, , ,,,0.10089094,+24.91664125,176.678445229682, 7.51,1.27408215594136,K1III-IV    , 1.112
370,   505,   108, , ,,,0.10094255,+63.67965857,12500, 7.36,-7.64,O6pe        , 0.126
371,   506,   109, , ,,,0.10097587,+53.27691513,751.87969924812, 8.66,-0.720741795164571,A2          ,-0.039
372,   507,   161, , ,,,0.10115884,-84.09820798,555.555555555556, 8.51,-0.213637474483468,K3III       , 1.576
373,   508,   110, , ,,,0.10118211,+40.41853643,304.878048780488, 6.65,-0.770630781441604,G5          , 0.912
374,   510,   126, , ,,,0.10222844,+09.71496461,90.3342366757001, 7.80,3.02073810439361,F5          , 0.501
375,   511,   127, , ,,,0.10223438,+00.12143808,187.265917602996, 8.21,1.84770628514278,G5          , 1.108
